listing_id,price,zone,avg_sharpness,avg_brightness,avg_resolution,avg_filesize_kb,price_q
106211493,2500,Arganzuela,100.19347276258851,176.62148763063286,1148060.0,81.48564453125,Mid-High
106246096,1900,Centro,989.5412579840937,177.96806903185498,1146195.0,175.75068359375,Mid-High
106264168,1700,Salamanca-Retiro,493.41313875121597,183.47584961278554,1147245.0,108.08603515625,Low-Mid
106280787,2400,Periferia Norte,452.9222747778181,162.52533859405483,1147245.0,91.322265625,Mid-High
106312618,1650,Salamanca-Retiro,266.872342638774,177.85150785372645,1565118.75,154.88427734375,Low-Mid
106401257,2865,Salamanca-Retiro,1397.9596805327503,130.12750309394036,1146645.0,176.31865234375,Premium
106406147,2800,Salamanca-Retiro,660.9086208015285,155.95579082799605,1036995.0,111.7603515625,Premium
106453553,1900,Norte,1050.273444231713,157.75606246598196,1146195.0,124.3330078125,Mid-High
106462787,1100,Chamberí,456.90836671080933,181.00817091261024,1146195.0,115.8376953125,Budget
106574544,2200,Salamanca-Retiro,180.69762159525848,132.5068330635387,1289480.0,105.703125,Mid-High
106580132,2350,Chamberí,459.91605258882953,146.02000744076054,1289480.0,106.56220703125,Mid-High
106584113,1150,Centro,513.4366160287595,164.01236149431853,967390.0,93.76279296875,Budget
106599853,1600,Chamberí,388.645563755413,145.10502458705395,2089295.0,207.9072265625,Low-Mid
106611700,1700,Centro,188.7926181368816,127.90894140176287,2033585.0,115.3875,Low-Mid
106629353,1750,Centro,746.1406442351165,170.56994610412386,1146195.0,104.626953125,Low-Mid
106642809,1150,Periferia Norte,121.6299550517106,160.039287028164,1311980.0,93.2357421875,Budget
106665765,905,Sur-Sureste,198.400622617701,203.70609491663552,1146195.0,60.88330078125,Budget
106668215,1700,Salamanca-Retiro,431.8160589703317,141.7879208867432,2250230.0,223.95166015625,Low-Mid
106742391,4600,Salamanca-Retiro,768.5576770800385,134.5108033944018,1956995.0,227.08212890625,Premium
106752862,1350,Centro,485.8696523100456,162.02724699370373,2111780.0,267.323828125,Budget
106819965,3500,Chamberí,352.17097040703476,122.72477245168383,1289480.0,147.306640625,Premium
106843213,13995,Oeste,2461.5918213871155,158.1007807390083,1147695.0,228.0015625,Premium
106844413,3500,Salamanca-Retiro,140.81642135743976,175.45679354951199,1147695.0,84.476953125,Premium
106856489,1000,Chamberí,107.94147903745068,128.07918858813045,1291400.0,91.77451171875,Budget
106865738,2400,Oeste,659.3790601509756,172.71947357532684,1175120.0,120.608203125,Mid-High
106933509,1800,Chamberí,433.9192663163373,165.6145449185652,1146195.0,129.61162109375,Low-Mid
106939840,1800,Salamanca-Retiro,190.99531273871915,127.89492136245774,2250230.0,167.897265625,Low-Mid
106968586,3000,Centro,988.9389531262608,147.5612895895186,1292330.0,226.03671875,Premium
107090250,1450,Periferia Norte,80.67629821584335,166.60438011778436,1147245.0,60.788671875,Low-Mid
107090908,1100,Sur-Sureste,34.605686233909395,44.26168962878852,3692165.0,87.78291015625,Budget
107096784,3150,Chamberí,412.28990932116847,128.63582909166053,2250230.0,268.94130859375,Premium
107097991,2790,Salamanca-Retiro,353.4121513434145,185.08452872331154,1521195.0,119.9740234375,Premium
107098859,2250,Centro,631.2355618319298,163.35001142566654,1333695.0,194.3708984375,Mid-High
107141299,3800,Chamberí,335.28859239394876,123.43839920357327,2208230.0,200.44658203125,Premium
107150285,1500,Sur-Sureste,382.86604627518705,121.44414394298785,1987730.0,224.687109375,Low-Mid
107211096,1450,Salamanca-Retiro,173.10077890787028,126.13338682927039,1814480.0,151.1265625,Low-Mid
107249284,950,Periferia Norte,1175.8349548216167,148.23139510548236,1924695.0,204.62646484375,Budget
107249437,950,Periferia Norte,1196.1520209007213,140.13908204524105,1383765.0,174.40703125,Budget
107249633,1260,Periferia Norte,1328.7144285060542,141.08598526021484,1194645.0,170.8703125,Budget
107265462,1450,Chamberí,401.9247763028776,123.82963112036472,2229230.0,242.06494140625,Low-Mid
107267821,1250,Periferia Norte,290.05546508461515,123.84052542100392,2565890.0,268.089453125,Budget
