listing_id,photo_idx,room_label,room_confidence,source_path
101402886,8,Dining room,0.035361033,101402886/008.jpg
101402886,9,Bedroom,0.03851612,101402886/009.jpg
101402886,10,Bedroom,0.07544364,101402886/010.jpg
101402886,11,Bedroom,0.070875,101402886/011.jpg
101402886,12,Bedroom,0.060589273,101402886/012.jpg
101402886,13,Bedroom,0.05681525,101402886/013.jpg
101402886,14,Bathroom,0.042211004,101402886/014.jpg
101402886,15,Bedroom,0.060532417,101402886/015.jpg
101402886,16,Bedroom,0.046048205,101402886/016.jpg
101402886,17,Dining room,0.07680431,101402886/017.jpg
101402886,18,Dining room,0.0365839,101402886/018.jpg
101402886,19,Bedroom,0.047943022,101402886/019.jpg
101402886,20,Kitchen,0.06002231,101402886/020.jpg
101402886,21,Bathroom,0.060385965,101402886/021.jpg
101402886,22,Bathroom,0.080039166,101402886/022.jpg
101402886,23,Exterior,0.07651869,101402886/023.jpg
101402886,24,Terrace,0.096403,101402886/024.jpg
101402886,25,Floor plan,0.07153057,101402886/025.jpg
101570083,0,Bedroom,0.0912053,101570083/000.jpg
101570083,1,Bedroom,0.06654904,101570083/001.jpg
101570083,2,Dining room,0.061728753,101570083/002.jpg
101570083,3,Living room,0.07867851,101570083/003.jpg
101570083,4,Dining room,0.053307887,101570083/004.jpg
101570083,5,Living room,0.08250995,101570083/005.jpg
101570083,6,Bathroom,0.0691799,101570083/006.jpg
101570083,7,Hallway,0.09498069,101570083/007.jpg
101570083,8,Hallway,0.06940733,101570083/008.jpg
101570083,9,Floor plan,0.08991211,101570083/009.jpg
101580197,0,Bedroom,0.072490536,101580197/000.jpg
101580197,1,Bedroom,0.06686503,101580197/001.jpg
101580197,2,Bedroom,0.06863891,101580197/002.jpg
101580197,3,Bedroom,0.07916373,101580197/003.jpg
101580197,4,Bedroom,0.0747447,101580197/004.jpg
101580197,5,Bedroom,0.08278355,101580197/005.jpg
101580197,6,Bedroom,0.06751887,101580197/006.jpg
101580197,7,Bedroom,0.08679787,101580197/007.jpg
101580197,8,Storage,0.06565257,101580197/008.jpg
101580197,9,Hallway,0.07168375,101580197/009.jpg
101580197,10,Bedroom,0.07831725,101580197/010.jpg
101580197,11,Bedroom,0.078391485,101580197/011.jpg
101580197,12,Bedroom,0.07074655,101580197/012.jpg
101580197,13,Bedroom,0.07240509,101580197/013.jpg
101580197,14,Bedroom,0.07240509,101580197/014.jpg
101580197,15,Bedroom,0.05344717,101580197/015.jpg
101580197,16,Bedroom,0.065975785,101580197/016.jpg
101580197,17,Bedroom,0.06998295,101580197/017.jpg
101580197,18,Bathroom,0.08349672,101580197/018.jpg
101580197,19,Bathroom,0.07863959,101580197/019.jpg
101580197,20,Hallway,0.07942674,101580197/020.jpg
101580197,21,Terrace,0.08528561,101580197/021.jpg
101580197,22,Living room,0.074094154,101580197/022.jpg
101580197,23,Living room,0.06206383,101580197/023.jpg
101580197,24,Living room,0.07553382,101580197/024.jpg
101580197,25,Living room,0.07762424,101580197/025.jpg
101580197,26,Living room,0.061929464,101580197/026.jpg
101580197,27,Kitchen,0.073120534,101580197/027.jpg
101580197,28,Kitchen,0.04453809,101580197/028.jpg
101580197,29,Kitchen,0.059464294,101580197/029.jpg
101580197,30,Kitchen,0.07101785,101580197/030.jpg
101580197,31,Kitchen,0.06634297,101580197/031.jpg
101580197,32,Kitchen,0.0687761,101580197/032.jpg
101580197,33,Hallway,0.10210037,101580197/033.jpg
101580197,34,Terrace,0.08108113,101580197/034.jpg
101580197,35,Terrace,0.06283135,101580197/035.jpg
101580197,36,Hallway,0.03799812,101580197/036.jpg
101580197,37,Terrace,0.041824788,101580197/037.jpg
101580197,38,Exterior,0.06369466,101580197/038.jpg
101580197,39,Exterior,0.07782707,101580197/039.jpg
101580197,40,Terrace,0.05703122,101580197/040.jpg
101580197,41,Floor plan,0.08573574,101580197/041.jpg
101642147,0,Living room,0.06971467,101642147/000.jpg
101642147,1,Living room,0.05464113,101642147/001.jpg
101642147,2,Living room,0.05702369,101642147/002.jpg
101642147,3,Bathroom,0.06637379,101642147/003.jpg
101642147,4,Hallway,0.076236255,101642147/004.jpg
101642147,5,Living room,0.056840487,101642147/005.jpg
101642147,6,Hallway,0.059583746,101642147/006.jpg
101642147,7,Bathroom,0.07763397,101642147/007.jpg
101642147,8,Terrace,0.114519134,101642147/008.jpg
101642147,9,Hallway,0.10144767,101642147/009.jpg
101642147,10,Hallway,0.06454859,101642147/010.jpg
101642147,11,Exterior,0.079143524,101642147/011.jpg
101666203,0,Living room,0.06283045,101666203/000.jpg
101666203,1,Living room,0.07056117,101666203/001.jpg
101666203,2,Living room,0.060459718,101666203/002.jpg
101666203,3,Living room,0.059912458,101666203/003.jpg
101666203,4,Dining room,0.03825898,101666203/004.jpg
101666203,5,Dining room,0.055473734,101666203/005.jpg
101666203,6,Living room,0.048183467,101666203/006.jpg
101666203,7,Living room,0.055265423,101666203/007.jpg
101666203,8,Living room,0.029880589,101666203/008.jpg
101666203,9,Living room,0.03248139,101666203/009.jpg
101666203,10,Living room,0.06141279,101666203/010.jpg
101666203,11,Kitchen,0.04628304,101666203/011.jpg
101666203,12,Kitchen,0.059109163,101666203/012.jpg
101666203,13,Kitchen,0.053139396,101666203/013.jpg
101666203,14,Kitchen,0.060305104,101666203/014.jpg
101666203,15,Kitchen,0.05120508,101666203/015.jpg
101666203,16,Living room,0.03787878,101666203/016.jpg
101666203,17,Bedroom,0.042904064,101666203/017.jpg
101666203,18,Bedroom,0.04956115,101666203/018.jpg
101666203,19,Bedroom,0.06596775,101666203/019.jpg
101666203,20,Bedroom,0.064238586,101666203/020.jpg
101666203,21,Bedroom,0.059628803,101666203/021.jpg
101666203,22,Bedroom,0.06841291,101666203/022.jpg
101666203,23,Bedroom,0.06801578,101666203/023.jpg
101666203,24,Bedroom,0.06487884,101666203/024.jpg
101666203,25,Hallway,0.05558295,101666203/025.jpg
101666203,26,Storage,0.07556651,101666203/026.jpg
101666203,27,Hallway,0.06221245,101666203/027.jpg
101666203,28,Bathroom,0.06197683,101666203/028.jpg
101666203,29,Bathroom,0.044485487,101666203/029.jpg
101666203,30,Hallway,0.031328887,101666203/030.jpg
101666203,31,Hallway,0.052351415,101666203/031.jpg
101666203,32,Bathroom,0.048911903,101666203/032.jpg
101666203,33,Bathroom,0.07646247,101666203/033.jpg
101666203,34,Bathroom,0.06884225,101666203/034.jpg
101666203,35,Hallway,0.06860973,101666203/035.jpg
101666203,36,Bathroom,0.050177954,101666203/036.jpg
101666203,37,Bedroom,0.05824129,101666203/037.jpg
101666203,38,Bedroom,0.06588669,101666203/038.jpg
101666203,39,Bedroom,0.041954104,101666203/039.jpg
101666203,40,Storage,0.09681701,101666203/040.jpg
101666203,41,Bedroom,0.07175015,101666203/041.jpg
101666203,42,Bedroom,0.0471477,101666203/042.jpg
101666203,43,Bedroom,0.050011594,101666203/043.jpg
101666203,44,Bedroom,0.05121689,101666203/044.jpg
101666203,45,Terrace,0.09190549,101666203/045.jpg
101666203,46,Terrace,0.10023872,101666203/046.jpg
101666203,47,Terrace,0.107300445,101666203/047.jpg
101666203,48,Exterior,0.054908976,101666203/048.jpg
101666203,49,Hallway,0.078759715,101666203/049.jpg
101666203,50,Hallway,0.114585236,101666203/050.jpg
101666203,51,Floor plan,0.07352565,101666203/051.jpg
101784564,0,Living room,0.07770449,101784564/000.jpg
101784564,1,Living room,0.058826327,101784564/001.jpg
101784564,2,Living room,0.05652122,101784564/002.jpg
101784564,3,Hallway,0.055917323,101784564/003.jpg
101784564,4,Kitchen,0.06278414,101784564/004.jpg
101784564,5,Kitchen,0.08070557,101784564/005.jpg
101784564,6,Kitchen,0.066478476,101784564/006.jpg
